2025-06-08 10:31:59,161 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 598, column 'company_id' - found int value: 18773
2025-06-08 10:31:59,161 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 604, column 'company_id' - found int value: 25338
2025-06-08 10:31:59,161 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 605, column 'company_id' - found int value: 39438
2025-06-08 10:31:59,161 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 606, column 'company_id' - found int value: 96674
2025-06-08 10:31:59,161 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 607, column 'company_id' - found int value: 116880
2025-06-08 10:31:59,161 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 608, column 'company_id' - found int value: 21972
2025-06-08 10:31:59,161 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 609, column 'company_id' - found int value: 17224
2025-06-08 10:31:59,161 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 610, column 'company_id' - found int value: 116880
2025-06-08 10:31:59,161 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 618, column 'company_id' - found int value: 16054
2025-06-08 10:31:59,161 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 619, column 'company_id' - found int value: 16054
2025-06-08 10:31:59,161 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 621, column 'company_id' - found int value: 15761
2025-06-08 10:31:59,161 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 623, column 'company_id' - found int value: 43552
2025-06-08 10:31:59,162 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 624, column 'company_id' - found int value: 30391
2025-06-08 10:31:59,162 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 625, column 'company_id' - found int value: 80332
2025-06-08 10:31:59,162 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 639, column 'company_id' - found int value: 114031
2025-06-08 10:31:59,162 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 640, column 'company_id' - found int value: 116572
2025-06-08 10:31:59,162 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 641, column 'company_id' - found int value: 28130
2025-06-08 10:31:59,162 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 642, column 'company_id' - found int value: 18037
2025-06-08 10:31:59,162 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 643, column 'company_id' - found int value: 61466
2025-06-08 10:31:59,162 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 644, column 'company_id' - found int value: 16054
2025-06-08 10:31:59,162 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 648, column 'company_id' - found int value: 11371
2025-06-08 10:31:59,162 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 650, column 'company_id' - found int value: 107785
2025-06-08 10:31:59,162 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 657, column 'company_id' - found int value: 16871
2025-06-08 10:31:59,162 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 658, column 'company_id' - found int value: 24209
2025-06-08 10:31:59,162 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 663, column 'company_id' - found int value: 59936
2025-06-08 10:31:59,162 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 664, column 'company_id' - found int value: 23542
2025-06-08 10:31:59,162 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 665, column 'company_id' - found int value: 15262
2025-06-08 10:31:59,162 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 684, column 'company_id' - found int value: 16871
2025-06-08 10:31:59,162 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 685, column 'company_id' - found int value: 16871
2025-06-08 10:31:59,162 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 686, column 'company_id' - found int value: 97872
2025-06-08 10:31:59,162 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 689, column 'company_id' - found int value: 19399
2025-06-08 10:31:59,162 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 700, column 'company_id' - found int value: 5
2025-06-08 10:31:59,162 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 704, column 'company_id' - found int value: 805
2025-06-08 10:31:59,162 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 705, column 'company_id' - found int value: 26306
2025-06-08 10:31:59,162 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 706, column 'company_id' - found int value: 29398
2025-06-08 10:31:59,162 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 708, column 'company_id' - found int value: 16871
2025-06-08 10:31:59,162 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 709, column 'company_id' - found int value: 105526
2025-06-08 10:31:59,162 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 719, column 'company_id' - found int value: 80643
2025-06-08 10:31:59,163 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 720, column 'company_id' - found int value: 19
2025-06-08 10:31:59,163 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 721, column 'company_id' - found int value: 97281
2025-06-08 10:31:59,163 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 725, column 'company_id' - found int value: 53491
2025-06-08 10:31:59,163 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 726, column 'company_id' - found int value: 57636
2025-06-08 10:31:59,163 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 727, column 'company_id' - found int value: 19656
2025-06-08 10:31:59,163 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 728, column 'company_id' - found int value: 37646
2025-06-08 10:31:59,163 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 729, column 'company_id' - found int value: 18445
2025-06-08 10:31:59,163 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 736, column 'company_id' - found int value: 28658
2025-06-08 10:31:59,163 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 737, column 'company_id' - found int value: 19046
2025-06-08 10:31:59,163 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 738, column 'company_id' - found int value: 16871
2025-06-08 10:31:59,163 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 743, column 'company_id' - found int value: 117409
2025-06-08 10:31:59,163 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 745, column 'company_id' - found int value: 120133
2025-06-08 10:31:59,163 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 746, column 'company_id' - found int value: 70520
2025-06-08 10:31:59,163 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 747, column 'company_id' - found int value: 132506
2025-06-08 10:31:59,163 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 749, column 'company_id' - found int value: 4269
2025-06-08 10:31:59,163 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 750, column 'company_id' - found int value: 18445
2025-06-08 10:31:59,163 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 754, column 'company_id' - found int value: 9957
2025-06-08 10:31:59,163 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 755, column 'company_id' - found int value: 36154
2025-06-08 10:31:59,163 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 756, column 'company_id' - found int value: 106156
2025-06-08 10:31:59,164 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 778, column 'company_id' - found int value: 15985
2025-06-08 10:31:59,164 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 779, column 'company_id' - found int value: 20591
2025-06-08 10:31:59,164 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 788, column 'company_id' - found int value: 20591
2025-06-08 10:31:59,164 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 789, column 'company_id' - found int value: 98618
2025-06-08 10:31:59,164 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 791, column 'company_id' - found int value: 15851
2025-06-08 10:31:59,164 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 792, column 'company_id' - found int value: 190
2025-06-08 10:31:59,164 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 795, column 'company_id' - found int value: 77119
2025-06-08 10:31:59,164 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 796, column 'company_id' - found int value: 7153
2025-06-08 10:31:59,164 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 797, column 'company_id' - found int value: 99412
2025-06-08 10:31:59,164 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 832, column 'company_id' - found int value: 15377
2025-06-08 10:31:59,164 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 833, column 'company_id' - found int value: 26402
2025-06-08 10:31:59,164 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 834, column 'company_id' - found int value: 48385
2025-06-08 10:31:59,164 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 837, column 'company_id' - found int value: 2553
2025-06-08 10:31:59,164 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 838, column 'company_id' - found int value: 15403
2025-06-08 10:31:59,164 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 839, column 'company_id' - found int value: 20361
2025-06-08 10:31:59,164 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 846, column 'company_id' - found int value: 15985
2025-06-08 10:31:59,164 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 847, column 'company_id' - found int value: 135397
2025-06-08 10:31:59,164 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 850, column 'company_id' - found int value: 57279
2025-06-08 10:31:59,164 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 851, column 'company_id' - found int value: 15985
2025-06-08 10:31:59,164 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 852, column 'company_id' - found int value: 16109
2025-06-08 10:31:59,164 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 861, column 'company_id' - found int value: 133947
